thumb,index,middle,ring,pinkie,accx1,accy1,accz1,gx1,gy1,gz1,accx2,accy2,accz2,gx2,gy2,gz2,anillo,label
377.0,236.0,277.0,284.0,250.0,16496.0,-184.0,3900.0,-302.0,55.0,-85.0,-13548.0,1904.0,7592.0,-212.0,36.0,-13.0,1.0,A
377.0,236.0,277.0,284.0,251.0,16496.0,-200.0,3740.0,-255.0,202.0,80.0,-13256.0,2212.0,7748.0,-31.0,464.0,-125.0,1.0,A
377.0,236.0,278.0,284.0,251.0,16380.0,-416.0,4588.0,-299.0,216.0,317.0,-13624.0,1844.0,7452.0,-387.0,-26.0,-34.0,1.0,A
377.0,237.0,278.0,284.0,251.0,16588.0,-208.0,3844.0,-216.0,137.0,-165.0,-13708.0,1976.0,7520.0,123.0,185.0,-106.0,1.0,A
377.0,237.0,278.0,284.0,251.0,16504.0,-720.0,4476.0,-303.0,-389.0,146.0,-12840.0,1492.0,7496.0,-383.0,124.0,173.0,1.0,A
377.0,237.0,278.0,284.0,251.0,16732.0,-684.0,4000.0,-373.0,812.0,-24.0,-14104.0,2472.0,7196.0,53.0,353.0,-283.0,1.0,A
377.0,237.0,278.0,284.0,252.0,16384.0,-332.0,4052.0,-716.0,-221.0,-13.0,-13316.0,1788.0,7580.0,336.0,-51.0,-110.0,1.0,A
377.0,237.0,278.0,284.0,251.0,16316.0,-388.0,4648.0,-20.0,72.0,263.0,-14084.0,2036.0,6604.0,-242.0,-88.0,-57.0,1.0,A
376.0,237.0,279.0,284.0,252.0,16260.0,-144.0,4592.0,-417.0,34.0,-371.0,-13460.0,2364.0,7700.0,351.0,-336.0,-427.0,1.0,A
376.0,237.0,279.0,284.0,252.0,16332.0,-104.0,4980.0,-417.0,-381.0,88.0,-13076.0,1928.0,7760.0,-36.0,-50.0,-255.0,1.0,A
377.0,238.0,279.0,284.0,252.0,16364.0,-4.0,3880.0,-478.0,167.0,-78.0,-13476.0,2328.0,7724.0,-68.0,177.0,-18.0,1.0,A
377.0,237.0,279.0,284.0,252.0,16492.0,64.0,4240.0,-214.0,-2.0,202.0,-13380.0,2048.0,7328.0,-33.0,28.0,-223.0,1.0,A
377.0,237.0,279.0,284.0,252.0,16464.0,-364.0,4284.0,-366.0,-90.0,56.0,-13412.0,2504.0,7752.0,-215.0,101.0,-60.0,1.0,A
377.0,238.0,279.0,284.0,252.0,16288.0,-140.0,4212.0,-375.0,-20.0,26.0,-13408.0,1828.0,7244.0,7.0,-63.0,-141.0,1.0,A
377.0,238.0,279.0,285.0,252.0,16396.0,-168.0,4332.0,-393.0,81.0,-36.0,-13396.0,2360.0,7724.0,126.0,-38.0,-352.0,1.0,A
377.0,238.0,279.0,284.0,252.0,16636.0,-440.0,4004.0,-418.0,-213.0,-142.0,-13352.0,2080.0,7320.0,-219.0,135.0,-73.0,1.0,A
377.0,238.0,279.0,285.0,253.0,16336.0,-304.0,4376.0,-202.0,-123.0,136.0,-13248.0,2148.0,7584.0,-183.0,207.0,-36.0,1.0,A
377.0,238.0,280.0,284.0,253.0,16588.0,-108.0,3984.0,-291.0,164.0,8.0,-13592.0,1860.0,7356.0,98.0,390.0,-80.0,1.0,A
376.0,238.0,280.0,285.0,253.0,16316.0,-12.0,4476.0,-607.0,28.0,108.0,-13608.0,2260.0,7524.0,-173.0,16.0,-168.0,1.0,A
377.0,238.0,280.0,285.0,252.0,16436.0,-140.0,4380.0,-542.0,-112.0,20.0,-13252.0,1992.0,7584.0,76.0,56.0,-379.0,1.0,A
377.0,238.0,280.0,285.0,253.0,16352.0,-60.0,3952.0,-225.0,-151.0,-34.0,-13208.0,1948.0,7668.0,-210.0,-9.0,15.0,1.0,A
377.0,238.0,280.0,285.0,253.0,16604.0,-472.0,4208.0,-271.0,96.0,120.0,-13468.0,2076.0,7540.0,75.0,99.0,-463.0,1.0,A
377.0,239.0,280.0,285.0,253.0,16260.0,380.0,3628.0,-602.0,-267.0,42.0,-13684.0,1852.0,7348.0,7.0,461.0,42.0,1.0,A
377.0,238.0,280.0,285.0,253.0,16620.0,-896.0,4072.0,-254.0,-99.0,-276.0,-13456.0,1688.0,7328.0,2.0,44.0,-248.0,1.0,A
377.0,239.0,280.0,285.0,253.0,16420.0,-168.0,4352.0,-370.0,-119.0,-486.0,-13280.0,2072.0,7720.0,-323.0,-209.0,-166.0,1.0,A
377.0,238.0,280.0,285.0,253.0,16320.0,172.0,4488.0,-38.0,51.0,-175.0,-13532.0,1892.0,7788.0,-389.0,170.0,-135.0,1.0,A
